pc11_state_id,pc11_district_id,emp_all,count_all,emp_manuf,emp_services,census_year
01,001,4568,2118,662,3906,1998
01,001,25709,13577,4613,20684,2005
01,001,43585,22204,5606,37862,2013
01,002,92323,38863,23004,69319,1998
01,002,140468.98626226583,63953.391034790366,45257.47622658341,94562.29727921498,2005
01,002,91532,44944,44679,46594,2013
01,003,3653,1665,379,3259,1998
01,003,13289,6329,1376,11832,2005
01,003,18508,7719,1657,16839,2013
01,004,1162,575,156,1006,1998
01,004,8520.605527797103,3723.8632597558662,1722.3898551641264,6686.1376257036245,2005
01,004,11003,4569,924,10073,2013
01,005,2933,1224,317,2616,1998
01,005,17067,9210,3003,14026,2005
01,005,24703,12607,3561,21076,2013
01,006,6458,2903,1196,5262,1998
01,006,24300,12419,3033,21164,2005
01,006,33107,15264,5235,27655,2013
01,007,8462,3717,1626,6800,1998
01,007,33078,15627,5333,27693,2005
01,007,54178,20407,10879,42936,2013
01,008,14274,7515,3270,10956,1998
01,008,46719,24023,11939,34445,2005
01,008,85022,44288,21617,60911,2013
01,009,4475,2069,1990,2485,1998
01,009,17413,8680,6191,10918,2005
01,009,21128,10754,4696,15621,2013
01,010,89416,37453,22216,67200,1998
01,010,94972.98626226584,44581.391034790366,25023.476226583407,69440.29727921498,2005
01,010,156205,66625,34123,120236,2013
01,011,1465,624,332,1133,1998
01,011,9319,5214,1723,7555,2005
01,011,20768,9246,4908,15685,2013
01,012,5006,2142,1382,3624,1998
01,012,33031,14790,10849,21244,2005
01,012,50343,24266,12445,37089,2013
01,013,1731,1126,259,1472,1998
01,013,11735,6230,2666,9029,2005
01,013,15945,8902,4458,11402,2013
01,014,17377,7097,3218,14136,1998
01,014,51461,26480,12948,38048,2005
01,014,84551,43943,17948,65574,2013
01,015,13291,4922,2251,11017,1998
01,015,32180,16279,10186,21736,2005
01,015,34434,20704,10278,23953,2013
01,016,3384,1524,414,2970,1998
01,016,13054,7608,1757,11278,2005
01,016,17000,8785,1823,15166,2013
01,017,3016,1159,393,2621,1998
01,017,7288,3902,1398,5882,2005
01,017,11586,6162,1767,9731,2013
01,018,1902,997,246,1656,1998
01,018,6465,3526,782,5670,2005
01,018,14427,7718,1616,12638,2013
01,019,7912,3730,960,6952,1998
01,019,24822,13855,4588,20098,2005
01,019,36477,16704,5535,30931,2013
01,020,2254,820,203,2051,1998
01,020,12116,5697,1169,10932,2005
01,020,24530,10506,2063,22412,2013
01,021,32541,17988,4500,28035,1998
01,021,99204,43704,14479,84292,2005
01,021,162125,66717,24718,137276,2013
01,022,7522,2628,1665,5857,1998
01,022,18197,8887,3880,14174,2005
01,022,54494,13743,30274,24075,2013
