state,election_year,month_of_election,winning_party,previous_ruling_party,incumbent_won,notes
Arunachal Pradesh,1980,November,INC,Janata Party,No,PPA was largest party but INC formed government
Bihar,1980,June,INC(I),President's Rule,No,Indira wave; Jagannath Mishra CM
Goa,1980,January,INC(I),Janata Party/MGP,No,Congress(I) won majority
Gujarat,1980,May,INC(I),Janata Party,No,Indira wave; Madhavsinh Solanki CM
Kerala,1980,January,INC-led UDF,CPI(M)-led LDF,No,UDF won; alternating pattern continues
Madhya Pradesh,1980,June,INC(I),Janata Party,No,Arjun Singh CM
Maharashtra,1980,June,INC(I),INC coalition,Yes,A.R. Antulay CM
Manipur,1980,January,INC(I),Janata Party,No,NA
Odisha,1980,June,INC(I),Janata Party,No,J.B. Patnaik CM
Punjab,1980,June,INC(I),Akali Dal-Janata,No,Darbara Singh CM
Rajasthan,1980,June,INC(I),Janata Party,No,Jagannath Pahadia CM
Tamil Nadu,1980,June,AIADMK,AIADMK,Yes,MGR re-elected; simultaneous with Lok Sabha
Uttar Pradesh,1980,June,INC(I),Janata Party,No,V.P. Singh CM; Indira wave
Puducherry,1980,June,INC(I),AIADMK-led coalition,No,NA
Haryana,1982,May,INC,Janata Party/Lok Dal,No,Bhajan Lal CM; Congress victory
Kerala,1982,May,INC-led UDF,INC-led UDF,Yes,K. Karunakaran CM; mid-term election
Nagaland,1982,November,INC,INC (United Democratic Front),Yes,S.C. Jamir CM
West Bengal,1982,May,CPI(M)-led LF,CPI(M)-led LF,Yes,Jyoti Basu CM; Left Front continues
Andhra Pradesh,1983,January,TDP,INC,No,First non-Congress govt in AP; NTR wave
Assam,1983,February,INC,President's Rule,No,Held during Assam agitation; widely boycotted; violence
Jammu & Kashmir,1983,June,NC,NC,Yes,Farooq Abdullah CM; dismissed 1984 by Governor
Karnataka,1983,January,Janata Party,INC,No,Ramakrishna Hegde CM; first non-Congress govt in Karnataka
Meghalaya,1983,February,INC,All Party Hill Leaders Conference,No,NA
Tripura,1983,January,CPI(M)-led LF,INC/President's Rule,No,Nripen Chakraborty CM
Arunachal Pradesh,1984,December,INC,INC,Yes,NA
Goa,1984,December,INC,INC,Yes,NA
Manipur,1984,December,INC,INC,Yes,NA
Mizoram,1984,April,INC,Mizo National Front,No,First election after Mizo Accord negotiations began
Tamil Nadu,1984,December,AIADMK,AIADMK,Yes,MGR re-elected; very ill during campaign
Andhra Pradesh,1985,March,TDP,TDP,Yes,NTR returned after brief Nadendla Bhaskara Rao episode
Assam,1985,December,AGP,INC,No,Post-Assam Accord; AGP formed from student movement (AASU)
Bihar,1985,March,INC,INC,Yes,Rajiv wave; Congress won 196/324 seats
Gujarat,1985,March,INC,INC,Yes,Congress won 149/182; Solanki then Amarsinh Chaudhary CM
Himachal Pradesh,1985,March,INC,INC,Yes,Virbhadra Singh CM
Karnataka,1985,March,Janata Party,Janata Party,Yes,Hegde continued; later Bommai became CM
Madhya Pradesh,1985,March,INC,INC,Yes,Arjun Singh/Motilal Vora CM
Maharashtra,1985,March,INC,INC,Yes,Vasantdada Patil then Shankarrao Chavan CM
Odisha,1985,March,INC,INC,Yes,J.B. Patnaik continued
Punjab,1985,September,SAD,President's Rule,No,Surjit Singh Barnala CM; post-Operation Bluestar; Rajiv-Longowal Accord
Rajasthan,1985,March,INC,INC,Yes,Harideo Joshi then Shiv Charan Mathur CM
Sikkim,1985,March,SSP,SSP,Yes,Nar Bahadur Bhandari CM; Sikkim Sangram Parishad
Uttar Pradesh,1985,March,INC,INC,Yes,N.D. Tiwari CM
Puducherry,1985,March,INC,INC,Yes,NA
Haryana,1987,June,INC,INC,Yes,Bansi Lal CM (Congress)
Jammu & Kashmir,1987,March,NC-INC,NC/Governor's Rule,Yes,Farooq Abdullah CM; NC-Congress alliance; allegations of rigging
Kerala,1987,March,CPI(M)-led LDF,INC-led UDF,No,E.K. Nayanar CM; LDF returned
Mizoram,1987,February,MNF,INC,No,Post-Mizo Accord; Laldenga CM
Nagaland,1987,November,Regional parties/INC coalition,INC,Yes,Hokishe Sema CM; Congress-led coalition
West Bengal,1987,March,CPI(M)-led LF,CPI(M)-led LF,Yes,Jyoti Basu CM
Meghalaya,1988,February,INC,INC,Yes,NA
Tripura,1988,February,CPI(M)-led LF,CPI(M)-led LF,Yes,Nripen Chakraborty continued; then Dasarath Deb
Andhra Pradesh,1989,November,INC,TDP,No,Congress regained power under Marri Chenna Reddy
Goa,1989,January,INC,INC,Yes,Coalition politics; frequent defections
Karnataka,1989,November,INC,Janata Dal,No,Veerendra Patil CM
Mizoram,1989,January,INC,MNF,No,Lalthanhawla CM
Nagaland,1989,January,INC,INC,Yes,S.C. Jamir CM; mid-term election
Sikkim,1989,November,SSP,SSP,Yes,Bhandari re-elected
Tamil Nadu,1989,January,DMK,AIADMK,No,"Karunanidhi CM; MGR died 1987, AIADMK split; Janaki vs Jayalalithaa"
Uttar Pradesh,1989,November,Janata Dal,INC,No,Mulayam Singh Yadav CM
Arunachal Pradesh,1990,February,INC,INC,Yes,NA
Bihar,1990,March,Janata Dal,INC,No,Lalu Prasad Yadav became CM; Mandal politics
Gujarat,1990,February,Janata Dal,INC,No,JD largest party with 70 seats; Chimanbhai Patel CM; hung assembly initially
Himachal Pradesh,1990,February,BJP,INC,No,Shanta Kumar CM; first BJP govt in HP
Madhya Pradesh,1990,February,BJP,INC,No,Sunderlal Patwa CM; first BJP govt in MP
Maharashtra,1990,February,INC,INC,Yes,Sharad Pawar CM; narrow victory
Manipur,1990,February,INC/MPP coalition,INC,Yes,Unstable governments; multiple CM changes
Odisha,1990,February,Janata Dal,INC,No,Biju Patnaik CM; returned to power at age 74
Rajasthan,1990,February,BJP,INC,No,Bhairon Singh Shekhawat CM
Puducherry,1990,January,DMK-Janata Dal,INC,No,NA
Assam,1991,June,INC,AGP,No,Congress returned under Hiteswar Saikia
Haryana,1991,June,INC,INC,Yes,Bhajan Lal CM; but HVP-BJP won later bye-elections
Kerala,1991,June,INC-led UDF,CPI(M)-led LDF,No,K. Karunakaran CM; UDF returned
Tamil Nadu,1991,June,AIADMK,DMK,No,Jayalalithaa CM; AIADMK allied with Congress; Rajiv Gandhi assassination during campaign
Uttar Pradesh,1991,June,BJP,Janata Dal,No,Kalyan Singh CM; Ram temple movement
West Bengal,1991,June,CPI(M)-led LF,CPI(M)-led LF,Yes,Jyoti Basu CM
Puducherry,1991,June,INC,DMK-led coalition,No,Mid-term; Congress returned
Punjab,1992,February,INC,President's Rule,No,Beant Singh CM; election boycotted by Akalis; low turnout amid militancy
Himachal Pradesh,1993,November,INC,BJP,No,Virbhadra Singh returned
