pc11_state_id,pc11_district_id,year,roads_completed,road_length_km
01,001,2006,1,2.21
01,001,2010,13,46.21
01,001,2011,4,30.4
01,001,2012,4,15
01,001,2013,6,27.63
01,002,2005,1,1.33
01,002,2007,2,5.64
01,002,2008,3,8.05
01,002,2009,1,5.25
01,002,2010,7,33.02
01,002,2011,4,15.69
01,002,2012,6,16.79
01,002,2013,2,4.5
01,002,2014,3,8.5
01,003,2004,3,4.6
01,003,2007,3,7.75
01,003,2008,2,6
01,003,2009,2,10
01,003,2010,1,2.75
01,003,2012,1,13.7
01,004,2005,1,2.5
01,004,2006,1,3
01,004,2008,5,22.85
01,004,2009,1,5.64
01,004,2010,3,17.5
01,004,2012,3,8
01,004,2013,1,2.77
01,004,2014,2,12.1
01,005,2007,3,12
01,005,2008,1,5.75
01,005,2009,1,2
01,005,2010,10,34
01,005,2011,2,6
01,005,2012,8,31
01,005,2013,8,38
01,005,2014,8,39.5
01,006,2006,3,11.4
01,006,2007,8,39.599999999999994
01,006,2008,4,12
01,006,2009,11,66
01,006,2010,18,101.95
01,006,2011,11,67.2
01,006,2012,11,60.779999999999994
01,006,2013,27,168.18000000000004
01,006,2014,12,116.25999999999999
01,006,2015,1,7
01,007,2005,1,2.3
01,007,2006,5,6.33
01,007,2007,6,10.2
01,007,2008,6,20.6
01,007,2009,1,0.53
01,007,2010,8,39.699999999999996
01,007,2011,6,21.45
01,007,2012,4,18.37
01,007,2013,6,24.85
01,007,2014,6,20.04
01,008,2007,1,2.5
01,008,2008,7,29.8
01,008,2010,17,64.05
01,008,2011,3,5
01,008,2012,12,34.980000000000004
01,008,2013,5,51.15
01,009,2011,2,5
01,009,2012,3,16
01,009,2013,1,4.5
01,010,2012,1,5.51
01,010,2013,2,5.63
01,011,2006,1,1.21
01,011,2009,3,15.5
01,011,2010,2,5.9
01,011,2011,2,7.42
01,011,2012,4,25.35
01,011,2013,5,8.2
01,011,2014,1,1.35
01,012,2004,1,1.9
01,012,2006,2,2.35
01,012,2007,11,32.83
01,012,2008,1,1.5
01,012,2009,16,26.5
01,012,2010,6,22.18
01,012,2011,5,7.5
01,012,2012,10,18.95
01,012,2013,2,2.03
01,013,2005,1,1.89
01,013,2007,14,34.2
01,013,2008,1,3
01,013,2009,12,27.450000000000003
01,013,2010,2,7
01,013,2012,5,18.25
01,013,2013,2,4.3
01,014,2004,7,8.05
01,014,2005,1,5.5
01,014,2006,3,5.67
01,014,2007,2,3.9
01,014,2008,6,14.5
01,014,2009,11,20.88
01,014,2010,6,8.29
01,014,2011,5,12.75
01,014,2012,21,45.95
01,014,2013,11,45.85
01,015,2004,1,1
01,015,2005,1,3.8
01,015,2007,2,4.5
01,015,2008,12,25.46
01,015,2009,8,15.870000000000001
01,015,2010,9,14.23
01,015,2011,3,4.14
01,015,2012,7,12.73
01,015,2014,1,1.5
01,016,2009,2,12
01,016,2010,6,27.75
01,016,2011,2,7.6
01,016,2012,8,48
01,016,2013,18,141.05
01,016,2014,18,126.45000000000002
01,016,2015,10,137.2
01,017,2004,1,3.01
01,017,2013,2,9.25
01,017,2014,6,95.10000000000001
01,018,2009,2,5.3
01,018,2011,1,5
01,018,2012,4,27.560000000000002
01,018,2013,1,6.2
01,018,2014,3,25.869999999999997
01,018,2015,1,3.38
01,019,2004,3,15
01,019,2006,3,10
01,019,2008,2,15
01,019,2009,3,24
01,019,2010,9,36.57
01,019,2011,11,63.309999999999995
01,019,2012,12,47.480000000000004
