cadre,office_name,display_name,pc11_state_id,pc11_district_id
A G M U T,Alipurduar,Alipurduar,19,NA
A G M U T,Dadra Nagar Haveli,Dadra Nagar Haveli,26,NA
A G M U T,Daman,Daman,25,NA
A G M U T,Daman Diu / Dadra Nagar Haveli,Daman Diu / Dadra Nagar Haveli,25,NA
A G M U T,Diu,Diu,25,NA
A G M U T,Goa,Goa,30,NA
A G M U T,"Goa, Daman, Diu","Goa, Daman, Diu",30,NA
A G M U T,Haveli,Haveli,26,NA
A G M U T,Karaikal (Pondi),Karaikal (Pondi),34,NA
A G M U T,L M Islands,L M Islands,31,NA
A G M U T,Lakshadweep,Lakshadweep,31,NA
A G M U T,N C T of Delhi,N C T of Delhi,07,NA
A G M U T,New Delhi,New Delhi,07,NA
A G M U T,North Goa,North Goa,30,NA
A G M U T,Pondicherry,Pondicherry,34,NA
A G M U T,Saiha (Mizoram),Saiha (Mizoram),15,NA
A G M U T,South Goa,South Goa,30,NA
A G M U T,West Siang (Aru. Pradesh),West Siang (Aru. Pradesh),12,NA
Andhra Pradesh,Adilabad,Adilabad,28,NA
Andhra Pradesh,Anantapur,Anantapur,28,NA
Andhra Pradesh,Andhra Pradesh,Andhra Pradesh,28,NA
Andhra Pradesh,Chittoor,Chittoor,28,NA
Andhra Pradesh,Chittorgarh,Chittorgarh,08,NA
Andhra Pradesh,Chnaglang (Aru. Pradesh),Changlang,12,NA
Andhra Pradesh,Cuddapah,Kadapa,28,NA
Andhra Pradesh,Dakshina Kannada,Dakshina Kannada,29,NA
Andhra Pradesh,East Godavari,East Godavari,28,NA
Andhra Pradesh,Guntur,Guntur,28,NA
Andhra Pradesh,Hyderabad,Hyderabad,28,NA
Andhra Pradesh,Kadapa,Kadapa,28,NA
Andhra Pradesh,Kadapa(AP),Kadapa,28,NA
Andhra Pradesh,Kakinada,East Godavari,28,NA
Andhra Pradesh,Karimnagar,Karimnagar,28,NA
Andhra Pradesh,Khammam,Khammam,28,NA
Andhra Pradesh,Krishna,Krishna,28,NA
Andhra Pradesh,Kurnool,Kurnool,28,NA
Andhra Pradesh,Lohardaga,Lohardaga,20,NA
Andhra Pradesh,Mahabubnagar,Mahabubnagar,28,NA
Andhra Pradesh,Medak,Medak,28,NA
Andhra Pradesh,Nalgonda,Nalgonda,28,NA
Andhra Pradesh,Nellore,Nellore,28,NA
Andhra Pradesh,Nizamabad,Nizamabad,28,NA
Andhra Pradesh,Prakasam,Prakasam,28,NA
Andhra Pradesh,Rangareddy,Rangareddy,28,NA
Andhra Pradesh,Srikakulam,Srikakulam,28,NA
Andhra Pradesh,Vishakapatnam,Visakhapatnam,28,NA
Andhra Pradesh,Vizianagaram,Vizianagaram,28,NA
Andhra Pradesh,Warangal,Warangal,28,NA
Andhra Pradesh,West Godavari,West Godavari,28,NA
Assam Meghalya,Darjeeling,Darjeeling,19,NA
Assam Meghalya,Kanpur,Kanpur,09,NA
Assam Meghalya,Sabarkantha,Sabarkantha,24,NA
Assam Meghalya,West Garo Hills (Meghalaya),West Garo Hills,17,NA
Bihar,Araria,Araria,10,NA
Bihar,Arwal,Arwal,10,NA
Bihar,Aurangabad,Aurangabad,10,NA
Bihar,Banka,Banka,10,NA
Bihar,Begusarai,Begusarai,10,NA
Bihar,Bhabhua,Kaimur,10,NA
Bihar,Bhagalpur,Bhagalpur,10,NA
Bihar,Bhojpur,Bhojpur,10,NA
Bihar,Bokaro,Bokaro,20,NA
Bihar,Buxar,Buxar,10,NA
Bihar,Chapra,Saran,10,NA
Bihar,Chatra,Chatra,20,NA
Bihar,Darbhanga,Darbhanga,10,NA
Bihar,Deoghar,Deoghar,20,NA
Bihar,Dhanbad,Dhanbad,20,NA
Bihar,Dumka,Dumka,20,NA
Bihar,East Champaran,East Champaran,10,NA
Bihar,Garhwa,Garhwa,20,NA
Bihar,Gaya,Gaya,10,NA
Bihar,Giridih,Giridih,20,NA
Bihar,Godda,Godda,20,NA
Bihar,Gopalganj,Gopalganj,10,NA
Bihar,Gumala,Gumla,20,NA
Bihar,Hazaribag,Hazaribagh,20,NA
Bihar,Jamui,Jamui,10,NA
Bihar,Jehanabad,Jehanabad,10,NA
Bihar,Kaimur,Kaimur,10,NA
Bihar,Katihar,Katihar,10,NA
Bihar,Khagaria,Khagaria,10,NA
Bihar,Kishanganj,Kishanganj,10,NA
Bihar,Kodrama,Koderma,20,NA
Bihar,Lakhisarai,Lakhisarai,10,NA
Bihar,Lohardaga,Lohardaga,20,NA
Bihar,Madhepura,Madhepura,10,NA
Bihar,Madhubani,Madhubani,10,NA
Bihar,Monghyr,Munger,10,NA
Bihar,Motihari,East Champaran,10,NA
Bihar,Munger,Munger,10,NA
Bihar,Muzaffarpur,Muzaffarpur,10,NA
Bihar,Nalanda,Nalanda,10,NA
Bihar,Nawadah,Nawada,10,NA
Bihar,Pakur,Pakur,20,NA
Bihar,Palamu,Palamu,20,NA
Bihar,Patna,Patna,10,NA
Bihar,Purnia,Purnia,10,NA
Bihar,Ranchi,Ranchi,20,NA
Bihar,Rohtas,Rohtas,10,NA
Bihar,Saharsa,Saharsa,10,NA
Bihar,Sahibganj,Sahibganj,20,NA
Bihar,Sakaleshapur,Hassan,10,NA
Bihar,Samastipur,Samastipur,10,NA
Bihar,Santhal Parganas,Dumka,20,NA
Bihar,Saran,Saran,10,NA
Bihar,Sehore,Sehore,10,NA
Bihar,Sheikhpura,Sheikhpura,10,NA
Bihar,Sheohar,Sheohar,10,NA
Bihar,Singhbhum East,East Singhbhum,20,NA
Bihar,Sitamarhi,Sitamarhi,10,NA
Bihar,Siwan,Siwan,10,NA
Bihar,Supaul,Supaul,10,NA
Bihar,Vaishali,Vaishali,10,NA
Bihar,West Champaran,West Champaran,10,NA
Bihar,West Singhbhum(Chaibassa),West Singhbhum,20,NA
Chhattisgarh,Balaghat,Balaghat,23,NA
Chhattisgarh,Balrampur,Balrampur,22,NA
Chhattisgarh,Bastar,Bastar,22,NA
