cadre,office_name,pc11_state_id,pc11_district_id
A G M U T,(UT),NA,NA
A G M U T,Alipurduar,NA,NA
A G M U T,Dadra Nagar Haveli,NA,NA
A G M U T,Daman,NA,NA
A G M U T,Daman Diu / Dadra Nagar Haveli,NA,NA
A G M U T,Disaster Mgmt Auth,NA,NA
A G M U T,Diu,NA,NA
A G M U T,General Administration,NA,NA
A G M U T,Goa,NA,NA
A G M U T,"Goa, Daman, Diu",NA,NA
A G M U T,Govt. of Arunachal Pradesh,NA,NA
A G M U T,Haveli,NA,NA
A G M U T,Karaikal (Pondi),NA,NA
A G M U T,L M Islands,NA,NA
A G M U T,Lakshadweep,NA,NA
A G M U T,Land Admin Deptt,NA,NA
A G M U T,Land Revenue & Disaster Mgmt Deptt,NA,NA
A G M U T,Land Revenue Deptt,NA,NA
A G M U T,N C T of Delhi,NA,NA
A G M U T,New Delhi,NA,NA
A G M U T,North Goa,NA,NA
A G M U T,Pondicherry,NA,NA
A G M U T,Saiha (Mizoram),NA,NA
A G M U T,South Goa,NA,NA
A G M U T,West Siang (Aru. Pradesh),NA,NA
Andhra Pradesh,Adilabad,28,NA
Andhra Pradesh,Anantapur,28,NA
Andhra Pradesh,Andhra Pradesh,28,NA
Andhra Pradesh,Chittoor,28,NA
Andhra Pradesh,Chittorgarh,28,NA
Andhra Pradesh,Chnaglang (Aru. Pradesh),28,NA
Andhra Pradesh,Cuddapah,28,NA
Andhra Pradesh,Dakshina Kannada,28,NA
Andhra Pradesh,East Godavari,28,NA
Andhra Pradesh,General Admin Deptt,28,NA
Andhra Pradesh,Guntur,28,NA
Andhra Pradesh,Hyderabad,28,NA
Andhra Pradesh,Kadapa,28,NA
Andhra Pradesh,Kadapa(AP),28,NA
Andhra Pradesh,Kakinada,28,NA
Andhra Pradesh,Karimnagar,28,NA
Andhra Pradesh,Khammam,28,NA
Andhra Pradesh,Krishna,28,NA
Andhra Pradesh,Kurnool,28,NA
Andhra Pradesh,Lohardaga,28,NA
Andhra Pradesh,Mahabubnagar,28,NA
Andhra Pradesh,Medak,28,NA
Andhra Pradesh,Nalgonda,28,NA
Andhra Pradesh,Nellore,28,NA
Andhra Pradesh,Nizamabad,28,NA
Andhra Pradesh,Prakasam,28,NA
Andhra Pradesh,Rangareddy,28,NA
Andhra Pradesh,Revenue Deptt,28,NA
Andhra Pradesh,Srikakulam,28,NA
Andhra Pradesh,Uttaranchal,28,NA
Andhra Pradesh,Vishakapatnam,28,NA
Andhra Pradesh,Vizianagaram,28,NA
Andhra Pradesh,Warangal,28,NA
Andhra Pradesh,West Bengal Bhavan,28,NA
Andhra Pradesh,West Godavari,28,NA
Assam Meghalya,Darjeeling,NA,NA
Assam Meghalya,Kanpur,NA,NA
Assam Meghalya,Planning Deptt,NA,NA
Assam Meghalya,Sabarkantha,NA,NA
Assam Meghalya,Uttaranchal,NA,NA
Assam Meghalya,West Garo Hills (Meghalaya),NA,NA
Bihar,Araria,10,NA
Bihar,Arwal,10,NA
Bihar,Aurangabad,10,NA
Bihar,Banka,10,NA
Bihar,Begusarai,10,NA
Bihar,Bhabhua,10,NA
Bihar,Bhagalpur,10,NA
Bihar,Bhojpur,10,NA
Bihar,Bokaro,10,NA
Bihar,Buxar,10,NA
Bihar,Chapra,10,NA
Bihar,Chatra,10,NA
Bihar,Civil Supplies Corpn.,10,NA
Bihar,"D/o General Admn,",10,NA
Bihar,Darbhanga,10,NA
Bihar,Deoghar,10,NA
Bihar,Dhanbad,10,NA
Bihar,Dumka,10,NA
Bihar,East Champaran,10,NA
Bihar,Garhwa,10,NA
Bihar,Gaya,10,NA
Bihar,General Administration,10,NA
Bihar,General Administration Deptt.,10,NA
Bihar,Giridih,10,NA
Bihar,Godda,10,NA
Bihar,Gopalganj,10,NA
Bihar,Govt.of Bihar,10,NA
Bihar,Gumala,10,NA
Bihar,Hazaribag,10,NA
Bihar,Jamui,10,NA
Bihar,Jehanabad,10,NA
Bihar,Kaimur,10,NA
Bihar,Katihar,10,NA
Bihar,Khagaria,10,NA
Bihar,Kishanganj,10,NA
Bihar,Kodrama,10,NA
Bihar,Lakhisarai,10,NA
Bihar,Land Revenue & Disaster Mgmt Deptt,10,NA
Bihar,Land Revenue Deptt,10,NA
Bihar,Lohardaga,10,NA
Bihar,Madhepura,10,NA
Bihar,Madhubani,10,NA
Bihar,Monghyr,10,NA
Bihar,Motihari,10,NA
Bihar,Munger,10,NA
Bihar,Muzaffarpur,10,NA
Bihar,Nalanda,10,NA
Bihar,Nawadah,10,NA
Bihar,Pakur,10,NA
Bihar,Palamu,10,NA
Bihar,Patna,10,NA
Bihar,Personnel & AR Deptt,10,NA
Bihar,Purnia,10,NA
Bihar,Ranchi,10,NA
Bihar,Revenue & Land Reforms Deptt,10,NA
Bihar,Rohtas,10,NA
Bihar,Saharsa,10,NA
Bihar,Sahibganj,10,NA
Bihar,Sakaleshapur,10,NA
Bihar,Samastipur,10,NA
Bihar,Santhal Parganas,10,NA
Bihar,Saran,10,NA
Bihar,Sehore,10,NA
Bihar,Sheikhpura,10,NA
Bihar,Sheohar,10,NA
Bihar,Singhbhum East,10,NA
Bihar,Sitamarhi,10,NA
Bihar,Siwan,10,NA
Bihar,Supaul,10,NA
Bihar,Tourism Deptt,10,NA
Bihar,Vaishali,10,NA
Bihar,West Champaran,10,NA
Bihar,West Singhbhum(Chaibassa),10,NA
Chhattisgarh,Administration,22,NA
Chhattisgarh,Balaghat,22,NA
Chhattisgarh,Balrampur,22,NA
Chhattisgarh,Bastar,22,NA
Chhattisgarh,Bemetra,22,NA
Chhattisgarh,Betul,22,NA
Chhattisgarh,Bhind,22,NA
Chhattisgarh,Bhopal,22,NA
Chhattisgarh,Bijapur,22,NA
Chhattisgarh,Bijapur (CG),22,NA
Chhattisgarh,Bilaspur (CG),22,NA
Chhattisgarh,Chhatarpur,22,NA
Chhattisgarh,Chhattisgarh,22,NA
Chhattisgarh,Collectorate,22,NA
Chhattisgarh,Commerce Deptt,22,NA
Chhattisgarh,D/o Revenue,22,NA
Chhattisgarh,Dantewada,22,NA
Chhattisgarh,Datia,22,NA
Chhattisgarh,Dhamtari,22,NA
Chhattisgarh,Dhar,22,NA
Chhattisgarh,Dindore,22,NA
Chhattisgarh,Durg,22,NA
Chhattisgarh,General Admin,22,NA
Chhattisgarh,General Admin Deptt,22,NA
Chhattisgarh,General Administration,22,NA
Chhattisgarh,General Administration Deptt.,22,NA
Chhattisgarh,Ghaziabad,22,NA
Chhattisgarh,Guna,22,NA
Chhattisgarh,Gwalior,22,NA
Chhattisgarh,Hoshangabad,22,NA
Chhattisgarh,Jabalpur,22,NA
Chhattisgarh,Janjgir-Champa,22,NA
Chhattisgarh,Jashpur,22,NA
Chhattisgarh,Jhabua,22,NA
Chhattisgarh,Kabeerdham,22,NA
Chhattisgarh,Kanker,22,NA
Chhattisgarh,Kawardha,22,NA
Chhattisgarh,Kodagu,22,NA
Chhattisgarh,Korba,22,NA
Chhattisgarh,Koriya,22,NA
Chhattisgarh,Land Revenue Deptt,22,NA
Chhattisgarh,Mahasamund,22,NA
Chhattisgarh,Mandla,22,NA
Chhattisgarh,Mandsaur,22,NA
Chhattisgarh,Munger,22,NA
Chhattisgarh,Narayanpur,22,NA
Chhattisgarh,Narsinghpur,22,NA
Chhattisgarh,North Bastar & Kanker,22,NA
Chhattisgarh,North Bastar (Kanker),22,NA
Chhattisgarh,Raigarh,22,NA
Chhattisgarh,Raipur,22,NA
Chhattisgarh,Rajnandgaon,22,NA
Chhattisgarh,Sagar,22,NA
Chhattisgarh,Sant Kabir Nagar,22,NA
Chhattisgarh,Sarguja,22,NA
Chhattisgarh,Satna,22,NA
Chhattisgarh,Sehore,22,NA
Chhattisgarh,Shahdol,22,NA
Chhattisgarh,Shajapur,22,NA
Chhattisgarh,Shivpuri,22,NA
Chhattisgarh,Sidhi,22,NA
Chhattisgarh,South Bastar (Dantewara),22,NA
Chhattisgarh,Sukma,22,NA
Chhattisgarh,Surguja,22,NA
Chhattisgarh,Tikamgarh,22,NA
Chhattisgarh,Ujjain,22,NA
Chhattisgarh,Umeria,22,NA
Chhattisgarh,Vidisha,22,NA
Gujarat,Ahmedabad,24,NA
Gujarat,Amreli,24,NA
Gujarat,Anand,24,NA
Gujarat,Banaskantha,24,NA
Gujarat,Bharuch,24,NA
Gujarat,Bhavnagar,24,NA
Gujarat,Bhuj,24,NA
Gujarat,Botad,24,NA
Gujarat,Collectorate,24,NA
Gujarat,D/o Revenue & Disaster Management & Ex-officio commir,24,NA
Gujarat,Dahod,24,NA
Gujarat,Dangs,24,NA
Gujarat,Devbhumi Dwarka,24,NA
Gujarat,Dohad,24,NA
Gujarat,Gandhinagar,24,NA
Gujarat,General Administration Deptt.,24,NA
Gujarat,Gir Somnath,24,NA
Gujarat,Godhra,24,NA
Gujarat,Gujarat,24,NA
Gujarat,Himatnagar,24,NA
Gujarat,Jamnagar,24,NA
Gujarat,Junagadh,24,NA
Gujarat,Kachchha,24,NA
Gujarat,Kheda,24,NA
Gujarat,Kutch,24,NA
Gujarat,Land Revenue Deptt,24,NA
Gujarat,Mahesana,24,NA
Gujarat,Mahisagar,24,NA
Gujarat,Mehsana,24,NA
Gujarat,Narmada,24,NA
Gujarat,Navsari,24,NA
Gujarat,Panchmahals,24,NA
Gujarat,Patan,24,NA
Gujarat,Porbandar,24,NA
Gujarat,Rajkot,24,NA
Gujarat,Revenue,24,NA
Gujarat,Revenue Administration Deptt.,24,NA
Gujarat,Revenue Deptt,24,NA
Gujarat,Sabarkantha,24,NA
Gujarat,Sitamarhi,24,NA
Gujarat,State Industrial Dev Corpn,24,NA
Gujarat,Surat,24,NA
Gujarat,Surendranagar,24,NA
Gujarat,Tapi-Vyara,24,NA
Gujarat,Urban Dev & Urban Housing Deptt,24,NA
Gujarat,Vadodara,24,NA
Gujarat,Valsad,24,NA
Haryana,Bhiwani,06,NA
Haryana,D/o Revenue,06,NA
Haryana,Hisar,06,NA
Jammu & Kashmir,Gautam Budh Nagar,01,NA
Jammu & Kashmir,Ghaziabad,01,NA
Jammu & Kashmir,Ghazipur,01,NA
Jammu & Kashmir,Jammu,01,NA
Jammu & Kashmir,Latur,01,NA
Jammu & Kashmir,Leh ( Ladakh),01,NA
Jammu & Kashmir,Rajouri,01,NA
Jammu & Kashmir,Reasi,01,NA
Jammu & Kashmir,Samba,01,NA
Jharkhand,Araria,20,NA
Jharkhand,Aurangabad,20,NA
Jharkhand,Banka,20,NA
Jharkhand,Begusarai,20,NA
Jharkhand,Bhagalpur,20,NA
Jharkhand,Bokaro,20,NA
Jharkhand,Buxar,20,NA
Jharkhand,Chaibassa,20,NA
Jharkhand,Chatra,20,NA
